3402  INFO  org.pircbotx.PircBotX - Connected to server.
3416  INFO  org.pircbotx.output.OutputRaw - CAP LS
3417  INFO  org.pircbotx.output.OutputRaw - NICK rcbot
3417  INFO  org.pircbotx.output.OutputRaw - USER chaosbot 8 * :PircBotX 2.0.1, a fork of PircBot, the Java IRC bot - pircbotx.googlecode.com
3444  INFO  org.pircbotx.InputParser - :dickson.freenode.net NOTICE * :*** Looking up your hostname...
3499  INFO  org.pircbotx.InputParser - :dickson.freenode.net NOTICE * :*** Checking Ident
3572  INFO  org.pircbotx.InputParser - :dickson.freenode.net NOTICE * :*** Found your hostname
15630 INFO  org.pircbotx.InputParser - :dickson.freenode.net 372 rcbot :- running for their sustained support.
15631 INFO  org.pircbotx.InputParser - :dickson.freenode.net 372 rcbot :-  
15633 INFO  org.pircbotx.InputParser - :dickson.freenode.net 372 rcbot :- In particular we would like to thank the sponsor
15641 INFO  org.pircbotx.InputParser - :dickson.freenode.net 372 rcbot :- of this server, details of which can be found above.
15641 INFO  org.pircbotx.InputParser - :dickson.freenode.net 372 rcbot :-  
15642 INFO  org.pircbotx.InputParser - :dickson.freenode.net 372 rcbot :- ***************************************************************
15642 INFO  org.pircbotx.InputParser - :dickson.freenode.net 372 rcbot :- Please read http://blog.freenode.net/2010/11/be-safe-out-there/
15643 INFO  org.pircbotx.InputParser - :dickson.freenode.net 372 rcbot :- ***************************************************************
15643 INFO  org.pircbotx.InputParser - :dickson.freenode.net 376 rcbot :End of /MOTD command.
15644 INFO  org.pircbotx.InputParser - :rcbot MODE rcbot :+i
15645 INFO  org.pircbotx.InputParser - :NickServ!NickServ@services. NOTICE rcbot :This nickname is registered. Please choose a different nickname, or identify via /msg NickServ identify <password>.
19672 INFO  org.pircbotx.InputParser - :rcbot!~chaosbot@68-184-207-14.dhcp.stls.mo.charter.com JOIN #stooptest
19680 INFO  org.pircbotx.output.OutputRaw - WHO #stooptest
